date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:40	284974/284974	---M--	200	added ('OK')	image/jpeg	etag:W/%224592e-2I7xQ+HQnEpUH1RmucXtcR672Ug%22	http://mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/IMG_0701.JPG	C:/bloomsanddreams/bloomsanddreams/mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/IMG_0701.jpg	(from http://www.bloomsanddreams.ca/)
19:30:43	12026/12026	---M--	200	added ('OK')	image/jpeg	etag:W/%222efa-rjZaKuUEO4zRxfK4uCOmys2i/pE%22	http://mediaprocessor.websimages.com/width/393/crop/0,0,283x213/www.bloomsanddreams.ca/IMG_0568.JPG	C:/bloomsanddreams/bloomsanddreams/mediaprocessor.websimages.com/width/393/crop/0,0,283x213/www.bloomsanddreams.ca/IMG_0568.jpg	(from http://www.bloomsanddreams.ca/)
19:30:45	9261/9261	---M--	200	added ('OK')	image/jpeg	etag:W/%22242d-22IqS1P99GrmB2ns2HeLruMlhts%22	http://mediaprocessor.websimages.com/width/446/crop/0,0,283x160/www.bloomsanddreams.ca/August%2027,%202015%20570.JPG	C:/bloomsanddreams/bloomsanddreams/mediaprocessor.websimages.com/width/446/crop/0,0,283x160/www.bloomsanddreams.ca/August%2027,%202015%20570.jpg	(from http://www.bloomsanddreams.ca/)
19:30:47	11764/11764	---M--	200	added ('OK')	image/jpeg	etag:W/%222df4-NAtj1BgP99RH6TZjSlFdgt5U7ts%22	http://mediaprocessor.websimages.com/width/869/crop/211,196,283x212/www.bloomsanddreams.ca/IMG_0752.JPG	C:/bloomsanddreams/bloomsanddreams/mediaprocessor.websimages.com/width/869/crop/211,196,283x212/www.bloomsanddreams.ca/IMG_0752.jpg	(from http://www.bloomsanddreams.ca/)
19:30:48	1803/1803	---M-Z	200	added ('OK')	application/javascript	etag:%2270b-55cc91390ec80-gzip%22	http://static.websimages.com/active-static/target/stats/collector.js	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/active-static/target/stats/collector.js	(from http://www.bloomsanddreams.ca/)
19:30:49	355/355	---M--	200	added ('OK')	image/png	etag:%22163-550cfcc624d40%22	http://static.websimages.com/static/projects/finch/themes/app_search_ie.png	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/static/projects/finch/themes/app_search_ie.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:50	15/15	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:48%20GMT	http://static.websimages.com/rails-static/webstore/images/paypal_24.png	C:/bloomsanddreams/bloomsanddreams/static.websimages.com/rails-static/webstore/images/paypal_24.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:51	804/804	---M--	200	added ('OK')	image/png	etag:%22324-550cfcc624d40%22	http://images.webs.com/static/global/icons/silk/page_edit.png	C:/bloomsanddreams/bloomsanddreams/images.webs.com/static/global/icons/silk/page_edit.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:52	411696/411696	---M--	200	added ('OK')	image/jpeg	etag:W/%2264830-Ui9gkrBNvSG+TdkwPFCgZwhEpYg%22	http://mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/20150904_100720.jpg	C:/bloomsanddreams/bloomsanddreams/mediaprocessor.websimages.com/fit/1920x1920/www.bloomsanddreams.ca/20150904_100720.jpg	(from http://www.bloomsanddreams.ca/)
19:30:53	952/952	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:51%20GMT	http://www.bloomsanddreams.ca/images/frames/u_shadow.png	C:/bloomsanddreams/bloomsanddreams/www.bloomsanddreams.ca/images/frames/u_shadow.1d.delayed	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
19:30:54	952/952	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Nov%202017%2000:30:52%20GMT	http://www.bloomsanddreams.ca/images/frames/papershade.png	C:/bloomsanddreams/bloomsanddreams/www.bloomsanddreams.ca/images/frames/papershade.png	(from http://www.bloomsanddreams.ca/.theme.css?pubDate=160605234040)
